"","Dataset","Model","Model_EN","Feature_EN","Feature_Value_EN_privileged","Feature_Value_EN_unprivileged","group_size_privileged","group_size_unprivileged","FP_privileged","FP_unprivileged","FPR_privileged","FPR_unprivileged","FDR_privileged","FDR_unprivileged","PRED_P_privileged","PRED_P_unprivileged","FP_amsti_diff","FPR_amsti_diff","FDR_amsti_diff","PRED_P_amsti_diff"
"1","Pilot","BR","Before Reweighing","gender","M","F",144,128,28.4722222222222,39.84375,59.4202898550725,70.8333333333333,45.0549450549451,57.3033707865169,63.1944444444444,69.53125,39.9390243902439,19.2073170731708,-4.69852768874538,10.0274725274725
"2","Pilot","BR","Before Reweighing","Age < 30","below 30","above 30",NA,236,NA,31.7796610169492,NA,60.9756097560976,NA,50.6756756756757,NA,62.7118644067797,NA,NA,NA,NA
"3","Pilot","BR","Before Reweighing","Age < 40","below 40","above 40",152,120,38.1578947368421,28.3333333333333,77.3333333333333,51.5151515151515,50.4347826086956,52.3076923076923,75.6578947368421,54.1666666666667,-25.7471264367816,-33.3855799373041,-49.6198054818745,-28.4057971014493
"4","Pilot","BR","Before Reweighing","Age < 50","below 50","above 50",208,64,34.1346153846154,32.8125,67.6190476190476,58.3333333333333,47.972972972973,65.625,71.1538461538462,50,-3.87323943661972,-13.7323943661972,-4.15660630449363,-29.7297297297297
"5","Pilot","BR","Before Reweighing","Dutch","Dutch","Not Dutch",212,59,35.377358490566,28.8135593220339,65.7894736842105,62.962962962963,53.1914893617021,44.7368421052632,66.5094339622642,64.406779661017,-18.5536723163842,-4.29629629629631,-39.5789473684211,-3.16143767279721
"6","Pilot","BR","Before Reweighing","Western","Western","Not Western",246,NA,34.5528455284553,NA,66.40625,NA,51.2048192771084,NA,67.479674796748,NA,NA,NA,NA,NA
"7","Pilot","AR","After Reweighing","gender","M","F",144,128,31.9444444444444,41.40625,66.6666666666667,73.6111111111111,48.4210526315789,59.5505617977528,65.9722222222222,69.53125,29.6195652173913,10.4166666666667,-14.6963035336264,5.39473684210525
"8","Pilot","AR","After Reweighing","Age < 30","below 30","above 30",NA,236,NA,34.7457627118644,NA,66.6666666666667,NA,53.9473684210526,NA,64.4067796610169,NA,NA,NA,NA
"9","Pilot","AR","After Reweighing","Age < 40","below 40","above 40",152,120,38.1578947368421,34.1666666666667,77.3333333333333,62.1212121212121,51.7857142857143,56.9444444444444,73.6842105263158,60,-10.4597701149425,-19.6708463949843,-39.3716475095786,-18.5714285714286
"10","Pilot","AR","After Reweighing","Age < 50","below 50","above 50",208,64,35.5769230769231,39.0625,70.4761904761905,69.4444444444444,49.6644295302013,71.4285714285714,71.6346153846154,54.6875,9.79729729729729,-1.46396396396397,1.91763191763191,-23.6577181208054
"11","Pilot","AR","After Reweighing","Dutch","Dutch","Not Dutch",212,59,39.1509433962264,27.1186440677966,72.8070175438597,59.2592592592593,56.4625850340136,44.4444444444444,69.3396226415094,61.0169491525424,-30.7331018991219,-18.6077643908969,-50.2325089833016,-12.0027672085784
"12","Pilot","AR","After Reweighing","Western","Western","Not Western",246,NA,37.8048780487805,NA,72.65625,NA,54.0697674418605,NA,69.9186991869919,NA,NA,NA,NA,NA
"13","Prepilot","BR","Before Reweighing","gender","M","F",693,560,15.8730158730159,13.2142857142857,31.9767441860465,27.1062271062271,38.86925795053,34.1013824884793,40.8369408369408,38.75,-16.75,-15.2314352314352,5.46611490534974,-5.11042402826854
"14","Prepilot","BR","Before Reweighing","IsFulltimeParent","Not full-time parent","Full-time parent",1070,185,14.5794392523364,15.6756756756757,30.5283757338552,27.1028037383178,35.7798165137615,43.9393939393939,40.7476635514019,35.6756756756757,7.51905751905752,-11.2209441648694,37.4820765231724,-12.4473096950161
