"","Dataset","Model","Model_EN","Feature_EN","Feature_Value_EN_privileged","Feature_Value_EN_unprivileged","group_size_privileged","group_size_unprivileged","FP_privileged","FP_unprivileged","FPR_privileged","FPR_unprivileged","FDR_privileged","FDR_unprivileged","PRED_P_privileged","PRED_P_unprivileged","FP_amsti_diff","FPR_amsti_diff","FDR_amsti_diff","PRED_P_amsti_diff"
"15","Prepilot","BR","Before Reweighing","IsParttimeParent","Not part-time parent","Part-time parent",1237,NA,14.7130153597413,NA,29.9835255354201,NA,36.6935483870968,NA,40.0970088924818,NA,NA,NA,NA,NA
"16","Prepilot","BR","Before Reweighing","Age < 30","below 30","above 30",396,859,15.9090909090909,14.2025611175786,33.1578947368421,28.5046728971963,37.0588235294118,36.7469879518072,42.9292929292929,38.6495925494761,-10.7267586895061,-14.0335261830589,9.68485470704875,-9.96918441416146
"17","Prepilot","BR","Before Reweighing","Age < 40","below 40","above 40",777,478,15.4440154440154,13.5983263598326,32.967032967033,25.5905511811024,35.0877192982456,40.625,44.015444015444,33.4728033472803,-11.9508368200837,-22.3753280839895,21.825206043956,-23.952139763635
"18","Prepilot","BR","Before Reweighing","Age < 50","below 50","above 50",1000,255,15.2,12.9411764705882,31.4699792960663,24.4444444444444,36.3636363636364,39.2857142857143,41.8,32.9411764705882,-14.8606811145511,-22.3245614035088,21.4932712215321,-21.1933577258655
"19","Prepilot","BR","Before Reweighing","Dutch","Dutch","Not Dutch",876,345,13.6986301369863,17.6811594202899,25.8620689655172,43.8848920863309,39.6039603960396,33.3333333333333,34.5890410958904,53.0434782608696,29.072463768116,69.6882494004796,18.8649425287356,53.3534222987516
"20","Prepilot","BR","Before Reweighing","Western","Western","Not Western",1021,199,12.9285014691479,24.6231155778894,26.1386138613861,50,34.5549738219895,47.1153846153846,37.4142997061704,52.2613065326633,90.4560682198873,91.2878787878788,60.705503242632,39.682706727354
"21","Prepilot","AR","After Reweighing","gender","M","F",693,560,11.8326118326118,9.28571428571429,23.8372093023256,19.047619047619,37.7880184331797,30.5882352941176,31.3131313131313,30.3571428571429,-21.5243902439024,-20.0929152148664,17.8655200026692,-3.05299539170506
"22","Prepilot","AR","After Reweighing","IsFulltimeParent","Not full-time parent","Full-time parent",1070,185,10.4672897196262,12.4324324324324,21.9178082191781,21.4953271028037,33.3333333333333,43.3962264150943,31.4018691588785,28.6486486486487,18.7741312741313,-1.92757009345797,64.4352545877487,-8.76769626769626
"23","Prepilot","AR","After Reweighing","IsParttimeParent","Not part-time parent","Part-time parent",1237,NA,10.6709781729992,NA,21.7462932454695,NA,34.4647519582245,NA,30.9620048504446,NA,NA,NA,NA,NA
"24","Prepilot","AR","After Reweighing","Age < 30","below 30","above 30",396,859,9.09090909090909,11.5250291036088,18.9473684210526,23.1308411214953,29.0322580645161,37.3584905660377,31.3131313131313,30.8498253783469,26.7753201396973,22.0794392523365,63.416087388282,-1.47958992076308
"25","Prepilot","AR","After Reweighing","Age < 40","below 40","above 40",777,478,10.4247104247104,11.2970711297071,22.2527472527473,21.259842519685,30.5660377358491,43.5483870967742,34.1055341055341,25.9414225941423,8.36820083682009,-4.46194225721784,69.6709204773721,-23.9377911107602
"26","Prepilot","AR","After Reweighing","Age < 50","below 50","above 50",1000,255,10.6,11.3725490196078,21.9461697722567,21.4814814814815,32.8173374613003,43.9393939393939,32.3,25.8823529411765,7.28819829818721,-2.11740041928721,67.0170887357105,-19.8688763431069
"27","Prepilot","AR","After Reweighing","Dutch","Dutch","Not Dutch",876,345,11.7579908675799,8.69565217391304,22.198275862069,21.5827338129496,41.2,23.4375,28.5388127853881,37.1014492753623,-26.0447446179823,-2.77292728923658,3.0078255775025,30.0034782608696
"28","Prepilot","AR","After Reweighing","Western","Western","Not Western",1021,199,11.1655239960823,9.54773869346734,22.5742574257426,19.3877551020408,35.625,32.7586206896552,31.3418217433888,29.1457286432161,-14.4891122278057,-14.1156462585034,28.5876863548424,-7.00690954773869
"29","TrainTest","BR","Before Reweighing","gender","M","F",2000,1356,10.4,12.0206489675516,24.7619047619048,23.6231884057971,29.971181556196,40.8521303258145,34.7,29.424778761062,15.5831631495348,-4.59866220735788,53.6856564488143,-15.2023666828186
"30","TrainTest","BR","Before Reweighing","IsFulltimeParent","Not full-time parent","Full-time parent",2846,NA,11.5952213633169,NA,26.634382566586,NA,32.8685258964143,NA,35.2775825720309,NA,NA,NA,NA,NA
"31","TrainTest","BR","Before Reweighing","IsParttimeParent","Not part-time parent","Part-time parent",3340,NA,10.9880239520958,NA,24.3046357615894,NA,33.5466179159049,NA,32.7544910179641,NA,NA,NA,NA,NA
"32","TrainTest","BR","Before Reweighing","Age < 30","below 30","above 30",1081,2317,13.5985198889917,9.75399223133362,32.8859060402685,20.7149404216315,33.9491916859122,33.0893118594436,40.0555041628122,29.4777729823047,-28.2716625709412,-37.0096709627939,0.599147753080594,-26.4076845407127
"33","TrainTest","BR","Before Reweighing","Age < 40","below 40","above 40",2055,1343,12.5060827250608,8.6373790022338,28.429203539823,18.2965299684543,34.496644295302,31.266846361186,36.2530413625304,27.6247207743857,-30.9345764607375,-35.6417778541531,8.22585175842574,-23.8002668572314
"34","TrainTest","BR","Before Reweighing","Age < 50","below 50","above 50",2740,658,11.970802919708,6.83890577507599,26.8632268632269,14.1955835962145,34.3815513626834,27.7777777777778,34.8175182481752,24.6200607902736,-42.8701163911335,-47.1560744787259,2.66000479415112,-29.2882950048747
"35","TrainTest","BR","Before Reweighing","Dutch","Dutch","Not Dutch",2778,506,10.943124550036,11.8577075098814,24.1269841269841,24.5901639344262,33.4801762114538,36.5853658536585,32.6853851691865,32.4110671936759,8.35760349490327,1.91975841242451,37.2112191046722,-0.839267991154586
"36","TrainTest","BR","Before Reweighing","Western","Western","Not Western",2927,NA,11.1035189613939,NA,24.4913338357197,NA,33.7136929460581,NA,32.9347454731807,NA,NA,NA,NA,NA
"37","TrainTest","AR","After Reweighing","gender","M","F",2000,1356,8.35,9.73451327433628,19.8809523809524,19.1304347826087,28.0201342281879,37.0786516853933,29.8,26.2536873156342,16.5809972974405,-3.77505857849516,61.3762202721363,-11.9003781354556
"38","TrainTest","AR","After Reweighing","IsFulltimeParent","Not full-time parent","Full-time parent",2846,NA,9.20590302178496,NA,21.1460855528652,NA,30.4297328687573,NA,30.2529866479269,NA,NA,NA,NA,NA
"39","TrainTest","AR","After Reweighing","IsParttimeParent","Not part-time parent","Part-time parent",3340,NA,8.83233532934132,NA,19.5364238410596,NA,31.0199789695058,NA,28.4730538922156,NA,NA,NA,NA,NA
"40","TrainTest","AR","After Reweighing","Age < 30","below 30","above 30",1081,2317,10.8233117483811,7.85498489425982,26.1744966442953,16.6819431714024,30.3108808290155,31.1643835616438,35.7076780758557,25.2050064738886,-27.4253105068815,-36.2664222425909,16.462361966637,-29.4129222842652
"41","TrainTest","AR","After Reweighing","Age < 40","below 40","above 40",2055,1343,10.2189781021898,6.62695457930008,23.2300884955752,14.0378548895899,32.1592649310873,28.0757097791798,31.7761557177616,23.6038719285182,-35.1505159025636,-39.5703770467178,15.0675747533038,-25.7182897195942
"42","TrainTest","AR","After Reweighing","Age < 50","below 50","above 50",2740,NA,9.74452554744525,NA,21.8673218673219,NA,31.7102137767221,NA,30.7299270072993,NA,NA,NA,NA,NA
"43","TrainTest","AR","After Reweighing","Dutch","Dutch","Not Dutch",2778,NA,8.71130309575234,NA,19.2063492063492,NA,31.1855670103093,NA,27.9337652987761,NA,NA,NA,NA,NA
"44","TrainTest","AR","After Reweighing","Western","Western","Not Western",2927,NA,8.88281516911514,NA,19.5930670685757,NA,31.2876052948255,NA,28.3908438674411,NA,NA,NA,NA,NA
