"","Dataset","Model","Feature","Feature_Value","group_size","TN","FP","FN","TP","TOTAL","ACT_N","ACT_P","PRED_P","PRED_N","FPR","PPV","FDR","TPR","STAT_PAR","ERROR","Feature_EN","Feature_Value_EN","is_privileged_group","stage","Model_EN"
"44","Prepilot","AR","IsFulltimeParent","0",1070,37.2897196261682,10.4672897196262,31.3084112149533,20.9345794392523,100,47.7570093457944,52.2429906542056,31.4018691588785,68.5981308411215,21.9178082191781,66.6666666666667,33.3333333333333,40.0715563506261,31.4018691588785,41.7757009345794,"IsFulltimeParent","Not full-time parent",1,"Prepilot/AR","After Reweighing"
"45","Prepilot","AR","IsParttimeParent","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IsParttimeParent","Part-time parent",0,"Prepilot/AR","After Reweighing"
"46","Prepilot","AR","IsParttimeParent","0",1237,38.3993532740501,10.6709781729992,30.6386418755053,20.2910266774454,100,49.0703314470493,50.9296685529507,30.9620048504446,69.0379951495554,21.7462932454695,65.5352480417754,34.4647519582245,39.8412698412698,30.9620048504446,41.3096200485044,"IsParttimeParent","Not part-time parent",1,"Prepilot/AR","After Reweighing"
"47","Prepilot","AR","Leeftijd&lt;30","1",396,38.8888888888889,9.09090909090909,29.7979797979798,22.2222222222222,100,47.979797979798,52.020202020202,31.3131313131313,68.6868686868687,18.9473684210526,70.9677419354839,29.0322580645161,42.7184466019417,31.3131313131313,38.8888888888889,"Age < 30","below 30",1,"Prepilot/AR","After Reweighing"
"48","Prepilot","AR","Leeftijd&lt;30","0",859,38.3003492433062,11.5250291036088,30.8498253783469,19.3247962747381,100,49.825378346915,50.174621653085,30.8498253783469,69.1501746216531,23.1308411214953,62.6415094339623,37.3584905660377,38.5150812064965,30.8498253783469,42.3748544819558,"Age < 30","above 30",0,"Prepilot/AR","After Reweighing"
"49","Prepilot","AR","Leeftijd&lt;40","1",777,36.4221364221364,10.4247104247104,29.4723294723295,23.6808236808237,100,46.8468468468468,53.1531531531532,34.1055341055341,65.8944658944659,22.2527472527473,69.433962264151,30.5660377358491,44.5520581113801,34.1055341055341,39.8970398970399,"Age < 40","below 40",1,"Prepilot/AR","After Reweighing"
"50","Prepilot","AR","Leeftijd&lt;40","0",478,41.8410041841004,11.2970711297071,32.2175732217573,14.6443514644351,100,53.1380753138075,46.8619246861925,25.9414225941423,74.0585774058577,21.259842519685,56.4516129032258,43.5483870967742,31.25,25.9414225941423,43.5146443514644,"Age < 40","above 40",0,"Prepilot/AR","After Reweighing"
"51","Prepilot","AR","Leeftijd&lt;50","1",1000,37.7,10.6,30,21.7,100,48.3,51.7,32.3,67.7,21.9461697722567,67.1826625386997,32.8173374613003,41.972920696325,32.3,40.6,"Age < 50","below 50",1,"Prepilot/AR","After Reweighing"
"52","Prepilot","AR","Leeftijd&lt;50","0",255,41.5686274509804,11.3725490196078,32.5490196078431,14.5098039215686,100,52.9411764705882,47.0588235294118,25.8823529411765,74.1176470588235,21.4814814814815,56.0606060606061,43.9393939393939,30.8333333333333,25.8823529411765,43.921568627451,"Age < 50","above 50",0,"Prepilot/AR","After Reweighing"
"53","Prepilot","AR","IsNederlands","1",876,41.2100456621005,11.7579908675799,30.2511415525114,16.7808219178082,100,52.9680365296804,47.0319634703196,28.5388127853881,71.4611872146119,22.198275862069,58.8,41.2,35.6796116504854,28.5388127853881,42.0091324200913,"Dutch","Dutch",1,"Prepilot/AR","After Reweighing"
"54","Prepilot","AR","IsNederlands","0",345,31.5942028985507,8.69565217391304,31.304347826087,28.4057971014493,100,40.2898550724638,59.7101449275362,37.1014492753623,62.8985507246377,21.5827338129496,76.5625,23.4375,47.5728155339806,37.1014492753623,40,"Dutch","Not Dutch",0,"Prepilot/AR","After Reweighing"
"55","Prepilot","AR","IsWesters","1",1021,38.2957884427032,11.1655239960823,30.3623898139079,20.1762977473066,100,49.4613124387855,50.5386875612145,31.3418217433888,68.6581782566112,22.5742574257426,64.375,35.625,39.922480620155,31.3418217433888,41.5279138099902,"Western","Western",1,"Prepilot/AR","After Reweighing"
"56","Prepilot","AR","IsWesters","0",199,39.6984924623116,9.54773869346734,31.1557788944724,19.5979899497487,100,49.2462311557789,50.7537688442211,29.1457286432161,70.8542713567839,19.3877551020408,67.2413793103448,32.7586206896552,38.6138613861386,29.1457286432161,40.7035175879397,"Western","Not Western",0,"Prepilot/AR","After Reweighing"
"57","TrainTest","BR","geslacht","M",2000,31.6,10.4,33.7,24.3,100,42,58,34.7,65.3,24.7619047619048,70.028818443804,29.971181556196,41.8965517241379,34.7,44.1,"gender","M",1,"TrainTest/BR","Before Reweighing"
"58","TrainTest","BR","geslacht","V",1356,38.8643067846608,12.0206489675516,31.7109144542773,17.4041297935103,100,50.8849557522124,49.1150442477876,29.424778761062,70.575221238938,23.6231884057971,59.1478696741855,40.8521303258145,35.4354354354354,29.424778761062,43.7315634218289,"gender","F",0,"TrainTest/BR","Before Reweighing"
"59","TrainTest","BR","IsFulltimeParent","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IsFulltimeParent","Full-time parent",0,"TrainTest/BR","Before Reweighing"
"60","TrainTest","BR","IsFulltimeParent","0",2846,31.939564300773,11.5952213633169,32.7828531271961,23.682361208714,100,43.53478566409,56.46521433591,35.2775825720309,64.7224174279691,26.634382566586,67.1314741035857,32.8685258964143,41.9415059116366,35.2775825720309,44.378074490513,"IsFulltimeParent","Not full-time parent",1,"TrainTest/BR","Before Reweighing"
"61","TrainTest","BR","IsParttimeParent","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IsParttimeParent","Part-time parent",0,"TrainTest/BR","Before Reweighing"
"62","TrainTest","BR","IsParttimeParent","0",3340,34.2215568862275,10.9880239520958,33.0239520958084,21.7664670658683,100,45.2095808383234,54.7904191616766,32.7544910179641,67.2455089820359,24.3046357615894,66.453382084095,33.5466179159049,39.7267759562842,32.7544910179641,44.0119760479042,"IsParttimeParent","Not part-time parent",1,"TrainTest/BR","Before Reweighing"
"63","TrainTest","BR","Leeftijd&lt;30","1",1081,27.7520814061055,13.5985198889917,32.1924144310823,26.4569842738205,100,41.3506012950971,58.6493987049029,40.0555041628122,59.9444958371878,32.8859060402685,66.0508083140878,33.9491916859122,45.1104100946372,40.0555041628122,45.790934320074,"Age < 30","below 30",1,"TrainTest/BR","Before Reweighing"
