"","Dataset","Model","Feature","Feature_Value","group_size","Feature_EN","Feature_Value_EN","stage","Metric","Value"
"61","Pilot","BR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/BR","PRED_N",24.3421052631579
"62","Pilot","BR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/BR","FPR",77.3333333333333
"63","Pilot","BR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/BR","PPV",49.5652173913043
"64","Pilot","BR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/BR","TPR",74.025974025974
"65","Pilot","BR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/BR","ERROR",51.3157894736842
"66","Pilot","BR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/BR","TN",26.6666666666667
"67","Pilot","BR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/BR","FP",28.3333333333333
"68","Pilot","BR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/BR","FN",19.1666666666667
"69","Pilot","BR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/BR","TP",25.8333333333333
"70","Pilot","BR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/BR","TOTAL",100
"71","Pilot","BR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/BR","ACT_N",55
"72","Pilot","BR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/BR","ACT_P",45
"73","Pilot","BR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/BR","PRED_P",54.1666666666667
"74","Pilot","BR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/BR","PRED_N",45.8333333333333
"75","Pilot","BR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/BR","FPR",51.5151515151515
"76","Pilot","BR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/BR","PPV",47.6923076923077
"77","Pilot","BR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/BR","TPR",57.4074074074074
"78","Pilot","BR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/BR","ERROR",47.5
"79","Pilot","BR","Leeftijd&lt;50","1",208,"Age < 50","below 50","Pilot/BR","TN",16.3461538461538
"80","Pilot","BR","Leeftijd&lt;50","1",208,"Age < 50","below 50","Pilot/BR","FP",34.1346153846154
"81","Pilot","BR","Leeftijd&lt;50","1",208,"Age < 50","below 50","Pilot/BR","FN",12.5
"82","Pilot","BR","Leeftijd&lt;50","1",208,"Age < 50","below 50","Pilot/BR","TP",37.0192307692308
"83","Pilot","BR","Leeftijd&lt;50","1",208,"Age < 50","below 50","Pilot/BR","TOTAL",100
"84","Pilot","BR","Leeftijd&lt;50","1",208,"Age < 50","below 50","Pilot/BR","ACT_N",50.4807692307692
"85","Pilot","BR","Leeftijd&lt;50","1",208,"Age < 50","below 50","Pilot/BR","ACT_P",49.5192307692308
"86","Pilot","BR","Leeftijd&lt;50","1",208,"Age < 50","below 50","Pilot/BR","PRED_P",71.1538461538462
"87","Pilot","BR","Leeftijd&lt;50","1",208,"Age < 50","below 50","Pilot/BR","PRED_N",28.8461538461538
